Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
    Industrial,8366.6,7020.1,6577.6,5396.9,6840.3,5353.7,4742.5,6637.4,6783.5,7060.2,7806.5,7413.7,5669,4570.7,7764.7,8125.3,6159.5,3158.9,2398.3,2123.3,2278.2,2512.5,2831.9,3150.8,2647.8,3181.3,3392.3,3296.8,2079.4,1317.8,1201.9,1348.2,1139.6,891.1,602.4,534.6,299.1,217.3,389,717.9,890.1,1134,809.4
    Institutional & Others,5326.6,4638.6,4070.6,3146.9,4456.2,4011.4,5013.6,5612.6,4712,4893.7,3980.2,3797.1,3734.6,2799.7,2868.7,2559.1,2084.8,2157.6,2523.6,2727.1,2669.9,2689.2,3011.2,2701.8,2796.1,2591.7,2271.7,1535.4,1378.7,1643.7,1067.4,879.8,817.8,597.9,633.3,525.7,545.5,797.4,878.4,783.1,699.4,694.6,587.5
  Civil Engineering Work,8256.3,7842.9,7419.7,5345.4,8138.4,7713.2,7692.2,8665.1,8020.9,7079.6,5883.2,6191.6,6077.9,6015,6097.4,4737.1,2942.2,2945.4,3085.9,2653.5,2863.3,3108.3,4361.1,3546.3,3400.5,3317.8,2941.6,2174.9,1801.8,1872.8,1325.2,1525.7,1280.5,966.3,1059.5,1256.8,2019,2009.2,1376.3,1193.5,1006,975.9,950.8
Progress Payments Certified - Public Sector,17260,15149.1,13078.3,10113.4,14526.3,13648,14795.5,16473.6,15614.6,14731.7,12554.8,12316.1,11652.9,10975.7,10142.5,7772.9,5514.7,5333.6,6208.3,6458.2,6927.9,7047.5,8714.2,8552.8,9954,10172.1,9502.5,7229.5,5819,5879.8,5030.2,4268.9,3381.1,2516.1,2327.1,2650.5,3752.2,4248.1,4311.6,5136.9,4926.2,3631,2480.3
  Building Work,10013.9,8286.8,6767.3,5455.2,7626.3,7249.7,8354.7,9350.3,9298.2,9123.1,7701.2,7017.6,6294.8,5720.5,5038.3,4156.7,3259.2,3133.8,3704.2,4014.3,4257.8,4191.6,4933.5,5497.5,6994.1,7360.2,6943.7,5387.8,4173.5,4156,3787.4,2840,2202.6,1624.3,1466.9,1447.8,1749,2243.9,2935.3,3943.4,3920.2,2655.1,1529.5
    Residential,4921,3969.7,2729,1940.6,2866.3,3010.9,3082.9,4312.5,5322.9,5139.7,4481.9,3765,3161.5,3254.2,2729.5,1810,1172.9,971.3,978.6,1084.6,1079.7,1281.1,1703.1,2445.2,3684.2,4550.8,4265.2,3399.6,2485.9,2678.6,2672.1,1862.5,1296.9,851.6,797.8,895.6,1114.4,1397,1876.8,2801.6,2746.4,1438.9,666.9
    Commercial,132.3,134.8,102.9,53.2,118.2,125.2,187.7,184.1,118.7,83.6,75.6,81.6,130,72.9,133.3,133.7,68.5,73.8,145.9,123.9,214.5,302.2,615.1,587.7,416.3,302.9,350.1,209.3,216.3,138.8,141.3,101.6,83.7,80.2,38.4,50.2,134.4,96,196.2,291.1,299.8,273.5,144.6
    Industrial,1120.4,1004,1035.5,1142.7,1334.1,1045.2,1049.5,938.8,567.1,448.7,513.5,664.2,739.5,474,119.9,254.3,494.4,433.4,539.9,548.4,719.5,411.9,210.4,209.3,473.5,389.8,460.9,618.7,324.5,199.5,182.6,211.5,186.5,200.4,76.5,45.4,19.5,10.1,40,162.4,249,322.8,189
    Institutional & Others,3840.2,3178.3,2899.9,2318.7,3307.8,3068.4,4034.6,3915,3289.5,3451.2,2630.2,2506.9,2263.8,1919.4,2055.6,1958.6,1523.5,1655.3,2039.8,2257.5,2244.1,2196.5,2404.9,2255.2,2420,2116.6,1867.4,1160.1,1146.8,1139.2,791.4,664.4,635.5,492.1,554.3,456.6,480.8,740.8,822.2,688.4,625,619.9,529
  Civil Engineering Work,7246.1,6862.3,6311,4658.2,6900,6398.3,6440.8,7123.3,6316.4,5608.6,4853.5,5298.5,5358.1,5255.1,5104.2,3616.2,2255.5,2199.8,2504.1,2443.9,2670.1,2855.9,3780.7,3055.3,2959.9,2812,2558.8,1841.7,1645.5,1723.8,1242.9,1428.9,1178.5,891.8,860.1,1202.7,2003.2,2004.2,1376.3,1193.5,1006,975.9,950.8
Progress Payments Certified - Private Sector,17679.9,15137.1,13077.1,9626.7,13773.5,12951.3,13115.6,18704.1,20787.6,21160.1,21127,19322.7,17208.5,16452.2,20751,18444.4,12357,7604.7,6012.6,5158,5290.8,6213.7,7165.3,7593.5,7295.3,9656,9733.1,8542.2,6326.6,5462.2,4525.2,4602.3,3438.7,2400.3,1987.3,1291.5,925.6,1173.9,2335.7,3366.3,3266.9,2526.7,1691.5
  Building Work,16669.7,14156.6,11968.5,8939.4,12535.1,11636.4,11864.3,17162.4,19083.1,19689,20097.3,18429.6,16488.7,15692.3,19757.8,17323.5,11670.3,6859.2,5430.8,4948.5,5097.7,5961.2,6585,7102.6,6854.7,9150.2,9350.3,8209,6170.3,5313.2,4442.9,4505.5,3336.6,2325.8,1787.8,1237.4,909.8,1168.9,2335.7,3366.3,3266.9,2526.7,1691.5
    Residential,5326.5,4797.9,3843.3,2681.1,3810.9,3606.9,4501.3,6577.7,8284.6,8671.4,8309.4,7177.8,6610.2,6263.9,5389.3,5062.8,3314,2447.7,2261.5,2291.9,2539.6,2661.2,2509.5,2715.3,3251.1,4209.5,4452.7,3590.3,2446.3,1851.8,1475,1244.2,979.9,821.6,719.5,513.5,362.1,438.6,955.8,1324.1,1242.4,891.5,552
    Commercial,2610.6,1882.3,1412.4,1176,2069.6,2778,2691,3188.4,3159.6,2963.6,3145,3212.1,3478.3,4451.4,5910.6,3789.2,2129.9,1183.8,827,612.1,573.6,706.6,847.7,999.3,1053.3,1674.2,1562,1565.4,1737.3,1838.5,1672.6,1909.1,1221.3,707.7,463.4,165.6,203.4,466.5,974.8,1391.9,1309,749.3,460.6
    Industrial,7246.2,6016.1,5542.1,4254.2,5506.2,4308.5,3693,5698.6,6216.4,6611.5,7293.1,6749.5,4929.5,4096.6,7644.8,7871,5665.2,2725.5,1858.5,1574.9,1558.7,2100.7,2621.5,2941.5,2174.3,2791.4,2931.3,2678.1,1754.9,1118.4,1019.3,1136.8,953.2,690.7,525.9,489.2,279.7,207.2,348.9,555.5,641.1,811.2,620.4
    Institutional & Others,1486.4,1460.3,1170.8,828.1,1148.4,943,979,1697.6,1422.5,1442.5,1349.9,1290.2,1470.7,880.3,813.1,600.5,561.3,502.2,483.8,469.7,425.8,492.7,606.3,446.5,376.1,475.1,404.3,375.3,231.8,504.5,276,215.4,182.3,105.8,79,69.1,64.7,56.6,56.2,94.7,74.4,74.7,58.5
  Civil Engineering Work,1010.2,980.6,1108.7,687.2,1238.4,1315,1251.3,1541.8,1704.5,1471.1,1029.7,893.2,719.8,759.9,993.3,1120.9,686.8,745.5,581.8,209.6,193.1,252.5,580.4,490.9,440.6,505.8,382.8,333.2,156.3,149,82.3,96.8,102.1,74.5,199.4,54.2,15.9,5,0,0,0,0,0
